Format Version,1.23,Take Name,IR_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.52.01.406 下午,Total Frames in Take,8372,Total Exported Frames,8372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
72,0.600000,-0.009600,0.965042,-0.002522,-0.261908,-2.434879,1.111352,-0.036360,0.000119,-0.016277,-0.000039,-0.999868,-0.091788,1.177508,-2.274133
73,0.608333,-0.009815,0.965055,-0.002526,-0.261853,-2.434775,1.111371,-0.036366,0.000139,-0.016288,-0.000036,-0.999867,-0.091789,1.177501,-2.274132
74,0.616667,-0.009761,0.965031,-0.002550,-0.261941,-2.434793,1.111376,-0.036358,0.000148,-0.016291,-0.000023,-0.999867,-0.091797,1.177497,-2.274130
75,0.625000,-0.009711,0.965034,-0.002524,-0.261935,-2.434828,1.111370,-0.036367,0.000141,-0.016293,-0.000039,-0.999867,-0.091785,1.177497,-2.274130
76,0.633333,-0.009385,0.965272,-0.002442,-0.261067,-2.434826,1.111451,-0.036429,0.000281,-0.016279,-0.000044,-0.999867,-0.091814,1.177492,-2.274100
77,0.641667,-0.009310,0.965265,-0.002428,-0.261095,-2.434874,1.111437,-0.036435,0.000168,-0.016294,-0.000022,-0.999867,-0.091797,1.177498,-2.274126
78,0.650000,-0.009660,0.965031,-0.002467,-0.261945,-2.434874,1.111366,-0.036382,0.000103,-0.016303,-0.000053,-0.999867,-0.091785,1.177508,-2.274143
79,0.658333,-0.009752,0.965055,-0.002559,-0.261852,-2.434803,1.111365,-0.036348,0.000121,-0.016366,-0.000011,-0.999866,-0.091780,1.177489,-2.274178
80,0.666667,-0.009835,0.965040,-0.002594,-0.261905,-2.434756,1.111373,-0.036344,0.000183,-0.016319,-0.000071,-0.999867,-0.091792,1.177512,-2.274129
81,0.675000,-0.009804,0.965014,-0.002622,-0.262000,-2.434778,1.111363,-0.036323,0.000238,-0.016311,-0.000048,-0.999867,-0.091789,1.177502,-2.274120
82,0.683333,-0.009749,0.965060,-0.002524,-0.261834,-2.434804,1.111372,-0.036367,0.000120,-0.016334,-0.000008,-0.999867,-0.091786,1.177488,-2.274166
83,0.691667,-0.009717,0.965028,-0.002455,-0.261956,-2.434844,1.111374,-0.036396,0.000168,-0.016296,-0.000049,-0.999867,-0.091793,1.177508,-2.274128
84,0.700000,-0.009781,0.965048,-0.002514,-0.261878,-2.434789,1.111381,-0.036380,0.000286,-0.016318,-0.000040,-0.999867,-0.091797,1.177492,-2.274121
85,0.708333,-0.009746,0.965038,-0.002498,-0.261918,-2.434814,1.111361,-0.036393,0.000157,-0.016367,-0.000013,-0.999866,-0.091796,1.177495,-2.274175
86,0.716667,-0.009668,0.965053,-0.002493,-0.261864,-2.434856,1.111360,-0.036370,0.000193,-0.016290,-0.000025,-0.999867,-0.091792,1.177500,-2.274120
87,0.725000,-0.009603,0.965067,-0.002516,-0.261815,-2.434884,1.111358,-0.036334,0.000145,-0.016373,-0.000035,-0.999866,-0.091799,1.177504,-2.274186
88,0.733333,-0.009733,0.965036,-0.002549,-0.261924,-2.434816,1.111374,-0.036357,0.000235,-0.016243,-0.000018,-0.999868,-0.091826,1.177497,-2.274097
89,0.741667,-0.009714,0.965078,-0.002480,-0.261771,-2.434826,1.111365,-0.036372,0.000213,-0.016300,-0.000061,-0.999867,-0.091794,1.177508,-2.274122
90,0.750000,-0.009669,0.965046,-0.002556,-0.261892,-2.434852,1.111363,-0.036335,0.000175,-0.016304,-0.000029,-0.999867,-0.091795,1.177493,-2.274129
91,0.758333,-0.009697,0.965053,-0.002564,-0.261862,-2.434824,1.111349,-0.036330,0.000176,-0.016303,-0.000002,-0.999867,-0.091780,1.177494,-2.274132
92,0.766667,-0.009728,0.965063,-0.002567,-0.261826,-2.434800,1.111369,-0.036332,0.000142,-0.016299,-0.000049,-0.999867,-0.091792,1.177509,-2.274131
93,0.775000,-0.009767,0.965048,-0.002546,-0.261877,-2.434789,1.111367,-0.036354,0.000038,-0.016278,-0.000021,-0.999868,-0.091795,1.177503,-2.274138
94,0.783333,-0.009717,0.965049,-0.002546,-0.261877,-2.434821,1.111355,-0.036339,0.000133,-0.016303,-0.000021,-0.999867,-0.091796,1.177495,-2.274135
